City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,bereeda,11.8704,51.0579,24.22,81,11,1.51,SO,1707176131
303,happy valley-goose bay,53.3168,-60.3315,-11.83,79,75,3.09,CA,1707176131
304,constantia,44.1833,28.65,9.38,77,54,7.61,RO,1707176131
305,shimoda,34.6667,138.95,7.2,93,100,6.62,JP,1707176131
306,basyayla,36.7534,32.6802,3.47,70,9,3.34,TR,1707176131
307,polyarnyy,69.1989,33.4478,-18.48,100,98,3.37,RU,1707176131
308,la'ie,21.6477,-157.9253,26.98,64,22,6.26,US,1707176132
309,thayetmyo,19.3167,95.1833,18.09,49,7,0.64,MM,1707176132
310,lata,40.1629,-8.3327,11.62,87,100,0.36,PT,1707176132
311,bayanhongor,46.7167,100.1167,-27.26,78,19,1.61,MN,1707176132
312,kokoda,-8.8785,147.7407,31.61,57,99,0.17,PG,1707176132
313,puerto maldonado,-12.6,-69.1833,30.22,74,0,0.0,PE,1707176132
314,kupang,-10.1667,123.5833,25.32,100,75,2.06,ID,1707175923
315,wynyard,-41.0,145.7167,17.71,38,1,3.91,AU,1707176133
316,higuera de zaragoza,25.95,-109.2833,26.96,47,72,4.69,MX,1707176133
317,puerto baquerizo moreno,-0.9,-89.6,25.55,79,41,4.85,EC,1707175944
318,broken hill,-31.95,141.4333,20.21,37,1,10.28,AU,1707175861
319,lobito,-12.3481,13.5456,26.97,82,100,2.87,AO,1707176133
320,rikaze,29.25,88.8833,-4.42,32,0,0.77,CN,1707176133
321,vinton,37.281,-79.897,9.31,55,0,1.45,US,1707176133
322,gotha,50.9482,10.7019,7.3,78,100,11.32,DE,1707176133
323,nuuk,64.1835,-51.7216,-12.66,78,75,3.6,GL,1707176134
324,bodden town,19.2833,-81.25,27.0,54,20,8.75,KY,1707176134
325,nizhneangarsk,55.7833,109.55,-16.11,89,100,0.45,RU,1707176134
326,nakhon nayok,14.1667,101.1,24.79,89,58,0.64,TH,1707176134
327,nar'yan-mar,67.6713,53.087,-18.83,97,100,1.79,RU,1707176134
328,mongomo,1.6274,11.3135,21.28,94,24,1.19,GQ,1707176134
329,hanceville,34.0607,-86.7675,15.95,78,25,2.63,US,1707176134
330,son la,21.3167,103.9,13.27,62,0,0.67,VN,1707176135
331,ornskoldsvik,63.2909,18.7153,-7.47,86,40,3.6,SE,1707176135
332,marquette,46.5333,-87.6335,3.76,91,95,0.63,US,1707175958
333,tukrah,32.5341,20.5791,14.36,83,28,4.24,LY,1707176135
334,alaghsas,17.0187,8.0168,17.42,15,99,8.67,NE,1707176135
335,enoch,37.7733,-113.0244,11.14,43,40,9.26,US,1707176135
336,cabo san lucas,22.8909,-109.9124,28.61,32,20,4.12,MX,1707175922
337,zambezi,-13.5432,23.1047,18.88,88,41,2.03,ZM,1707176136
